SMILES,name,canvasUID,Source File,Source File Index,Molecular weight
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N3CCSc(c34)cccc4,ZINC20985169,119,Ambinter.sdf,119,460.53135
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N3CCCSc(c34)cccc4,ZINC20985187,121,Ambinter.sdf,121,474.55844
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N3C[C@@H](C)CSc(c34)cccc4,ZINC20985190,122,Ambinter.sdf,122,488.58553
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N3C[C@H](C)CSc(c34)cccc4,ZINC20985195,123,Ambinter.sdf,123,488.58553
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N3CC[C@@H](C)Sc(c34)cccc4,ZINC20985200,124,Ambinter.sdf,124,488.58553
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N3CC[C@H](C)Sc(c34)cccc4,ZINC20985204,125,Ambinter.sdf,125,488.58553
COc(cc1)ccc1OC(=O)c2cc(on2)-c3ccccc3,ZINC21785920,126,Ambinter.sdf,126,295.29746
c1ccc(Br)cc1OC(=O)c2cc(on2)-c3ccccc3,ZINC21785923,127,Ambinter.sdf,127,344.172
Cc1cc(C)cc(c1)OC(=O)c2cc(on2)-c3ccccc3,ZINC21785926,128,Ambinter.sdf,128,293.32515
c1cc(F)ccc1OC(=O)c2cc(on2)-c(c3)ccc(c34)OCCO4,ZINC21786192,130,Ambinter.sdf,130,341.29844
c1cccc(F)c1OC(=O)c2cc(on2)-c(c3)ccc(c34)OCCO4,ZINC21786198,132,Ambinter.sdf,132,341.29844
Cc1c(C)ccc(c1)OC(=O)c2cc(on2)-c3ccc(cc3)OC,ZINC21786513,134,Ambinter.sdf,134,323.35164
COc(cc1)ccc1OC(=O)c2cc(on2)-c3ccc(cc3)OCC,ZINC21786640,135,Ambinter.sdf,135,339.35104
[O-]C(=O)c1cc(on1)-c2c(F)cc(cc2)OC,ZINC22168098,136,Ambinter.sdf,136,236.18114
[O-]C(=O)c1cc(on1)-c(c2C)ccc(C)c2,ZINC22170236,137,Ambinter.sdf,137,216.2184
[O-]C(=O)c1cc(on1)-c2cc(OC)c(OC)c(c2)OC,ZINC26420305,138,Ambinter.sdf,138,278.24369
[O-]C(=O)c1cc(on1)-c(c2C)cccc2,ZINC26420307,139,Ambinter.sdf,139,202.19131
[O-]C(=O)c1cc(on1)-c(c2)ccc(c23)cccc3,ZINC26420310,140,Ambinter.sdf,140,238.22476
[O-]C(=O)c1cc(on1)-c2cccc(c23)cccc3,ZINC26420311,141,Ambinter.sdf,141,238.22476
[O-]C(=O)c1cc(on1)-c2c(Br)cccc2,ZINC26420314,142,Ambinter.sdf,142,267.06525
[O-]C(=O)c1cc(on1)-c2cc(Br)ccc2,ZINC26420317,143,Ambinter.sdf,143,267.06525
COC(=O)c1cc(on1)-c2c(F)cccc2,ZINC26421046,144,Ambinter.sdf,144,221.18971
COC(=O)c1cc(on1)-c2c(F)cc(F)cc2,ZINC26421048,145,Ambinter.sdf,145,239.18014
COC(=O)c1cc(on1)-c(c2)ccc(c23)OCO3,ZINC26421052,146,Ambinter.sdf,146,247.20923
COC(=O)c1cc(on1)-c(c2)ccc(c23)O[C@@H](C)C3,ZINC26421055,147,Ambinter.sdf,147,259.26401
